sample,Name
OG0000000,Fiber protein
OG0000001,Pre-protein VI
OG0000002,Penton protein
OG0000003,Pre-hexon-linking protein IIIa
OG0000004,Packaging protein 3
OG0000005,Preterminal protein
OG0000006,DNA polymerase
OG0000007,Shutoff protein
OG0000008,DNA-binding protein
OG0000009,Protease
OG0000010,Hexon protein
OG0000011,Pre-hexon-linking protein VIII
OG0000012,Packaging protein 1
OG0000013,Protein E4.3
OG0000014,Pre-histone-like nucleoprotein
OG0000015,Protein RH1
OG0000016,Protein E4.1
OG0000017,Protein E4.2
OG0000018,Hexon-interlacing protein LH3
OG0000019,Late L2 mu core protein
OG0000020,Structural protein p32K
OG0000021,Probable U-exon protein
OG0000022,Protein LH2
